sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.51	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.57	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.08	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Chthoniobacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Opitutales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.51	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Verrucomicrobiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	6.07	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Limisphaerales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.4	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Mycoplasmatales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.69	Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.79	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9; o__XYA12-FULL-58-9
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota; c__UBA727; o__UBA727
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.28	Root; d__Bacteria; p__Myxococcota; c__JADLHZ01; o__JADLHZ01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	4.19	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__Phycocordibacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia; o__Daviesbacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.17	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia; o__Levybacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.1	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__Saccharimonadales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.34	Root; d__Bacteria; p__Patescibacteriota; c__Doudnabacteria; o__UBA920
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.46	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018; o__UBA1018
