sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.11	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	15.55	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	5.81	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	16.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	7.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.2	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	4.87	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.09	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.42	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Afifellaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	4.1	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.24	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.42	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__ATCC43930; f__CGMCC-115725
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.58	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.38	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.21	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.37	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__DSM-16000; f__Inquilinaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.49	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Geminicoccales; f__Geminicoccaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.43	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.36	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__SMXQ01; f__SMXQ01
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.13	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	17.62	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_C
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__SG8-39
