sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.52	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.59	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	3.72	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.17	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.81	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.08	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.29	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.34	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.3	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Chloracidobacteriales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.69	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.17	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia; o__Levybacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.16	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia; o__Daviesbacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.72	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__Phycocordibacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	3.85	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__Saccharimonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.57	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__UBA4664
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.68	Root; d__Bacteria; p__Patescibacteriota; c__Doudnabacteria; o__UBA920
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.97	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Palsa-1104
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.89	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Polyangiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.33	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Haliangiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.58	Root; d__Bacteria; p__Myxococcota_A; c__UBA796; o__UBA796
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.28	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.25	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.96	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__OLB7
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	7.86	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Limisphaerales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.93	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Chthoniobacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.49	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Verrucomicrobiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.17	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Opitutales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.77	Root; d__Bacteria; p__Armatimonadota; c__SYMT01; o__SYMT01
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.46	Root; d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.34	Root; d__Bacteria; p__Armatimonadota; c__Armatimonadia; o__Armatimonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.34	Root; d__Bacteria; p__Armatimonadota; c__DTGP01; o__DTGP01
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.54	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.4	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.45	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.74	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales
