sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.47	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__S36-B12
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.57	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.23	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__JAFAQI01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	6.52	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.95	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	11.27	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.51	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__IMCC26256
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.18	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	3.46	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.33	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.07	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.45	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.39	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__UBA1845
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.21	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.45	Root; d__Bacteria; p__Planctomycetota; c__J058; o__J058
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.53	Root; d__Bacteria; p__Armatimonadota; c__SYMT01; o__SYMT01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.62	Root; d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Armatimonadota; c__DTGP01; o__DTGP01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	3.01	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__Phycocordibacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	3.07	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__Saccharimonadales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.51	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__UBA4664
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia; o__Levybacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Patescibacteriota; c__Doudnabacteria; o__UBA920
