localizeddatetime\r\n',temp,windSpeed,windDirection,humidity,dayRain_c,dayET_c
2025-07-11 22:45:00\r\n',51.2,0,221.9015748,91,0,0.808160446
2025-07-11 23:00:00\r\n',51.1,0,221.9015748,92.5,0,0.808160446
2025-07-11 23:15:00\r\n',50.2,0,221.9015748,91,0,0.808160446
2025-07-11 23:45:00\r\n',54.6,0,196.4606299,91.5,0,0.808160446
2025-07-12 00:00:00\r\n',54,0,195.0472441,89.5,0,0
2025-07-12 00:15:00\r\n',52.4,0,203.5275591,91.5,0,0
2025-07-12 00:30:00\r\n',55.1,0,202.1141732,88,0,0
2025-07-12 00:45:00\r\n',52.2,0,202.1141732,90.5,0,0
2025-07-12 01:00:00\r\n',51.2,0,202.1141732,91.5,0,0
2025-07-12 01:01:00\r\n',,,,,0,0
2025-07-12 01:15:00\r\n',51.2,0,202.1141732,91,0,0
2025-07-12 01:30:00\r\n',50.7,0,202.1141732,92.5,0,0
2025-07-12 01:45:00\r\n',50.6,0,202.1141732,94,0,0
2025-07-12 02:00:00\r\n',52.3,0,202.1141732,94.5,0,0
2025-07-12 02:15:00\r\n',51,0,230.3818898,92.5,0,0
2025-07-12 02:30:00\r\n',51.1,0,241.6889764,93.5,0,0
2025-07-12 02:45:00\r\n',49.7,0,219.0748031,93,0,0
2025-07-12 03:00:00\r\n',49.7,0,219.0748031,94,0,0
2025-07-12 03:15:00\r\n',49.4,0,219.0748031,95,0,0
2025-07-12 03:30:00\r\n',49,0,219.0748031,94.5,0,0
2025-07-12 03:45:00\r\n',50.2,0,219.0748031,95.5,0,0
2025-07-12 04:15:00\r\n',50,0,219.0748031,95,0,0
2025-07-12 04:30:00\r\n',49.9,0,219.0748031,95,0,0
2025-07-12 04:45:00\r\n',49.4,0,219.0748031,95,0,0
2025-07-12 05:15:00\r\n',50.2,0,219.0748031,95,0,0
2025-07-12 05:30:00\r\n',49.4,0,219.0748031,95,0,0
